alpha,lambda,seed,P,trajectory_class,transitions,transition_rate,forward_fraction,reversal_fraction,tours,fixed_residual,periodic_closure,peak_analog_mean,binary_retrieval_mean,participation_mean,front_width_mean,quarter_1_transitions,quarter_2_transitions,quarter_3_transitions,quarter_4_transitions,trajectory_source,lyapunov_source,lyapunov_k,lyapunov_final,lyapunov_tail_250,lyapunov_status
0.13,0.4,46,260,strict_sequence,115,0.071875,1.0,0.0,0.4423076923076923,0.037359060754679936,1.1787264778743458,0.8398782323425672,0.9030039999999999,1.4596662123150088,1.1812386725829636,29,29,28,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p40_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p13_lam0p40_s46_k1.npz,1,-0.0062897711297178254,6.007544949213739e-05,no_positive_exponent_resolved
0.13,0.5,42,260,strict_sequence,129,0.080625,1.0,0.0,0.49615384615384617,0.04580187311005352,1.1735308387232646,0.8802979069259833,0.9369670000000001,1.3155689013774696,1.1353040434972814,32,32,33,32,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p50_s42.npz,,,,,not_computed
0.13,0.5,43,260,strict_sequence,129,0.080625,1.0,0.0,0.49615384615384617,0.04439513522765404,1.1992381353951391,0.8806436767925447,0.937392,1.3166550829523247,1.134116617711393,32,32,33,32,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p50_s43.npz,,,,,not_computed
0.13,0.5,44,260,strict_sequence,129,0.080625,1.0,0.0,0.49615384615384617,0.04661912597352191,1.2053848986952478,0.8812412526273576,0.9366220000000001,1.3166140468580068,1.1348665708393226,32,32,33,32,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p50_s44.npz,,,,,not_computed
0.13,0.5,45,260,strict_sequence,129,0.080625,1.0,0.0,0.49615384615384617,0.04621743045450167,1.186061147741547,0.8807828054364998,0.9367620000000001,1.314041028409642,1.1354290356852696,32,32,33,32,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p50_s45.npz,,,,,not_computed
0.13,0.5,46,260,strict_sequence,129,0.080625,1.0,0.0,0.49615384615384617,0.04576475735603173,1.1981459881388024,0.8796760787091142,0.93585,1.323006828526843,1.135679020061246,32,32,33,32,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p50_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p13_lam0p50_s46_k1.npz,1,-0.00471545084969214,1.134122637615505e-05,no_positive_exponent_resolved
0.13,0.7,42,260,strict_sequence,141,0.088125,1.0,0.0,0.5423076923076923,0.06316361893512763,1.1904586323770507,0.9121986720003348,0.962234,1.2312454313951098,1.0933691644272232,35,36,35,35,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p70_s42.npz,,,,,not_computed
0.13,0.7,43,260,strict_sequence,141,0.088125,1.0,0.0,0.5423076923076923,0.06530381954791832,1.181489298390613,0.9119368273289677,0.9609580000000001,1.2343637363367612,1.0928066995812762,35,36,35,35,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p70_s43.npz,,,,,not_computed
0.13,0.7,44,260,strict_sequence,141,0.088125,1.0,0.0,0.5423076923076923,0.05591110637256037,0.700730746416934,0.9126202953238327,0.961991,1.2309825000143515,1.0935566527092058,35,36,35,35,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p70_s44.npz,,,,,not_computed
0.13,0.7,45,260,strict_sequence,141,0.088125,1.0,0.0,0.5423076923076923,0.06559256974145285,1.2006112145829897,0.9122806905532983,0.960916,1.231124229396128,1.093681644897194,35,36,35,35,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p70_s45.npz,,,,,not_computed
0.13,0.7,46,260,strict_sequence,141,0.088125,1.0,0.0,0.5423076923076923,0.06390298698371356,1.159601522763595,0.9117315569957763,0.9607459999999999,1.2351943196304291,1.094181613649147,35,36,35,35,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p70_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p13_lam0p70_s46_k1.npz,1,-0.004207212501699326,-3.0293084755143438e-05,no_positive_exponent_resolved
